Ses Order 0,Front Matter
MASTER1gc,Welcome
MASTER7ss,Organization Listing
MASTER5ol,Sponsors & Supporters
Ses Order 1,Keynotes and Invited Talks
kn01gh,The Next Generation of Neural Networks
kn02nf,Proof by Experimentation? Towards Better IR Research
kn03ev,Coopetition in IR Research
kn04zx,On Presuppositions of Machine Learning: A Meta Theory
kn05dt,How Deep Learning Works for Information Retrieval
kn06ec,From Information to Assistance
iit01rj,The New TREC Track on Podcast Search and Summarization
iit02jr,Large-Scale Multi-modal Search and QA at Alibaba
Ses Order 2,Session 1A: NeuIR and Semantic Matching 
fp0005,Training Effective Neural CLIR by Bridging the Translation Gap
fp0040,A Quantum Interference Inspired Neural Matching Model for Ad-hoc Retrieval
fp0042,A Deep Recurrent Survival Model for Unbiased Ranking
fp0044,ColBERT: Efficient and Effective Search via Contextualized Late Interaction over BERT
fp0062,Efficient Document Re-Ranking for Transformers by Precomputing Term Representations
fp0068,A Reinforcement Learning Framework for Relevance Feedback
Ses Order 3,Session 1B: Knowledge and Explainability
fp0021,Fairness-Aware Explainable Recommendation over Knowledge Graphs
fp0027,Attentional Graph Convolutional Networks for Knowledge Concept Recommendation in MOOCs in a Heterogeneous View
fp0080,Sequential Recommendation with Self-attentive Multi-adversarial Network
fp0095,MVIN: Learning multiview items for recommendation
fp0100,Make It a CHORUS: Context- and Knowledge-aware Item Modeling for Recommendation
fp0107,Evolutionary Product Description Generation: A Dynamic Fine-Tuning Approach Leveraging User Click Behavior
Ses Order 4,Session 1C: Graph-based Analysis
fp0024,Pairwise View Weighted Graph Network for View-based 3D Model Retrieval
fp0025,Detecting User Community in Sparse Domain via Cross-Graph Pairwise Learning
fp0038,BiANE: Bipartite Attributed Network Embedding
fp0049,Hierarchical Fashion Graph Network for Personalised Outfit Recommendation
fp0109,Global Context Enhanced Graph Nerual Networks for Session-based Recommendation
fp0140,Interactive Recommender System via Knowledge Graph-enhanced Reinforcement Learning
Ses Order 5,Session 2A: Knowledge for Personalization
fp0010,Jointly Non-Sampling Learning for Knowledge Graph Enhanced Recommendation
fp0051,AutoGroup: Automatic Feature Grouping for Modelling Explicit High-Order Feature Interactions in CTR Prediction
fp0103,KERL: A Knowledge-Guided Reinforcement Learning Model for  Sequential Recommendation
fp0108,CKAN: Collaborative Knowledge-aware Attentive Network for Recommender Systems
fp0135,CATN: Cross-Domain Recommendation for Cold-Start Users via Aspect Transfer Network
fp0137,Leveraging Demonstrations for Reinforcement Recommendation Reasoning over Knowledge Graphs
fp0139,Incorporating Scenario Knowledge into A Unified Fine-tuning Architecture for Event Representation
Ses Order 6,Session 2B: User Behavior and Experience
fp0028,Ranking-Incentivized Quality Preserving Content Modification
fp0029,On Understanding Data Worker Interaction Behaviors
fp0032,Creating a Children-Friendly Reading Environment via Joint Learning of Content and Human Attention
fp0057,Octopus: Comprehensive and Elastic User Representation for the Generation of Recommendation Candidates
fp0075,The Cortical Activity of Graded Relevance
fp0083,Asymmetric Tri-training for Debiasing Missing-Not-At-Random Explicit Feedback
fp0088,Beyond User Embedding Matrix: Learning to Hash for Modeling Large-Scale Users in Recommendation
Ses Order 7,Session 2C: Evaluation
fp0002,Measuring Recommendation Explanation Quality: The Conflicting Goals of Explanations
fp0003,Bayesian Inferential Risk Evaluation On Multiple IR Systems
fp0006,How to Measure the Reproducibility of System-oriented IR Experiments
fp0084,Good Evaluation Measures based on Document Preferences
fp0113,Preference-based Evaluation Metrics for Web Image Search
fp0128,Models Versus Satisfaction: Towards a Better Understanding of Evaluation Metrics
fp0129,Cascade or Recency: Constructing Better Evaluation Metrics for Session Search
Ses Order 8,Session 3A: Bias and Fairness
fp0004,Operationalizing the Legal Principle of Data Minimization for Personalization
fp0026,Learning Personalized Risk Preferences for Recommendation
fp0056,Certifiable Robustness to Discrete Adversarial Perturbations for Factorization Machines
